Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
J1,USBCONN,USB-B-S-TH,,TOP,180,2198.8,1389.03
U3,PIC18F24J50,SPDIL28,,TOP,90,1100,-450
U4,LM317L,TO92,,TOP,180,700,-50
C14,10uF,CAP10,,TOP,90,450,-300
C31,100nF,CAP10,,TOP,270,650,-300
R8,10k,RES40,,TOP,90,350,-700
C27,100nF,CAP10,,TOP,180,650,100
R11,680,RES40,,TOP,0,650,200
R12,1k1,RES40,,TOP,180,650,350
X1,CRYSTAL,XTAL18,,TOP,90,1550,-300
C12,27pF,CAP10,,TOP,90,1750,-450
C13,27pF,CAP10,,TOP,270,1750,-200
C10,100nF,CAP10,,TOP,90,1400,150
C11,10uF,CAP10,,TOP,0,1500,-600
D7,DIODE,DIODE30,,TOP,270,1500,-1000
D8,DIODE,DIODE30,,TOP,270,1600,-1000
R25,100,RES40,,TOP,270,1700,-950
R10,100,RES40,,TOP,270,1850,-950
R24,1k,RES40,,TOP,270,2000,-950
U2,TLV272CP,DIL08,,TOP,90,2400,-350
C23,1uF,CAP10,,TOP,90,1900,-450
R19,20k,RES40,,TOP,90,1900,-50
R20,10k,RES40,,TOP,90,2050,-400
C30,100nF,CAP10,,TOP,0,2400,-700
C6,100nF,CAP10,,TOP,0,2400,-50
C24,1uF,CAP10,,TOP,270,2300,200
R28,1k,RES40,,TOP,180,1750,250
R27,1k,RES40,,TOP,90,2050,150
C25,1uF,CAP10,,TOP,180,1750,350
R21,2.7k,RES40,,TOP,90,2700,-800
R22,5.1k,RES40,,TOP,90,2800,-800
R9,11k,RES40,,TOP,270,2900,-800
R23,20k,RES40,,TOP,90,2700,-300
R26,20k,RES40,,TOP,90,2800,-300
RV1,5k,PRE-HMIN,,TOP,0,2750,300
U1,74HCT4052,DIL16,,TOP,90,3400,50
C29,100nF,CAP10,,TOP,270,3050,-250
C15,2.2pF,CAP10,,TOP,270,3300,-500
C16,6.8pF,CAP10,,TOP,270,3450,-500
C17,15pF,CAP10,,TOP,270,3600,-500
C18,10pF,CAP10,,TOP,270,3700,-500
C19,47pF,CAP10,,TOP,270,3700,-250
C20,100pF,CAP10,,TOP,270,3700,0
C21,470pF,CAP10,,TOP,270,3700,300
C22,680pF,CAP10,,TOP,0,3600,550
R14,75k,RES40,,TOP,270,3850,-900
R15,15k,RES40,,TOP,270,3850,-400
R16,7k5,RES40,,TOP,270,3850,100
R17,1k5,RES40,,TOP,270,3850,600
R18,1k,RES40,,TOP,0,3500,800
RL,TSC-105D3H,RLY-OEG-TSC-D,,TOP,270,4151.57,-853.15
Q3,BC337,TO92,,TOP,90,4050,-400
D6,DIODE,DIODE30,,TOP,270,4250,-350
R7,1k,RES40,,TOP,90,4050,0
C7,10uF,CAP10,,TOP,180,4200,-50
C8,100nF,CAP10,,TOP,180,4200,100
D9,LED,LED,,TOP,90,2700,1250
R13,1k,RES40,,TOP,0,2250,900
C28,10uF,CAP10,,TOP,90,2450,450
L1,100uH,THIND,,TOP,0,2100,650
L2,100uH,THIND,,TOP,180,2100,500
C26,10uF,CAP10,,TOP,0,1700,750
R6,2.2,RES40,,TOP,180,1650,1000
R5,680,RES40,,TOP,0,1650,900
R4,1k5,RES40,,TOP,180,1650,1100
C1,1uF,CAP10,,TOP,180,1650,1200
R2,2.2,RES40,,TOP,0,1600,1350
R1,680,RES40,,TOP,0,1600,1450
R3,2k2,RES40,,TOP,0,1600,1550
Q1,BC327,TO92,,TOP,0,1070,1400
Q2,BC337,TO92,,TOP,0,1070,1100
D4,DIODE,DIODE30,,TOP,180,1000,950
D5,DIODE-ZEN,DIODE30,,TOP,-90,1300,850
D2,DIODE,DIODE30,,TOP,180,1000,850
D3,DIODE,DIODE30,,TOP,180,600,950
D1,DIODE,DIODE30,,TOP,180,600,850
C4,100uF,CAP10,,TOP,90,650,700
C5,100uF,CAP10,,TOP,180,950,700
C2,1uF,CAP10,,TOP,180,800,1200
C3,1uF,CAP10,,TOP,180,800,1400
C9,1uF,CAP10,,TOP,90,3650,-1150
J3,25630501RP2,CON5_1X5_U_2563,NorComp 25630501RP2,TOP,270,600,-900
J2,26630201RP2,CON2_1X2_HDR_2663,NorComp 26630201RP2,TOP,180,2360.63,-1150
